contract,experiment,clause_id,clause_type,risk_score,severity,deviation,confidence
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c004,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c005,Confidentiality,30,Low,False,0.576
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c006,Confidentiality,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c007,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c008,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c009,Limitation of Liability,30,Low,False,0.6560000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c010,Return/Destruction,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c011,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c012,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c013,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c014,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c015,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c016,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c017,Term & Survival,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c018,Miscellaneous,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c019,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c020,Confidentiality,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c003,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c004,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c005,Confidentiality,30,Low,False,0.576
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c006,Confidentiality,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c007,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c008,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c009,Limitation of Liability,30,Low,False,0.6560000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c010,Return/Destruction,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c011,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c012,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c013,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c014,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c015,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c016,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c017,Term & Survival,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c018,Miscellaneous,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c019,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rag_rules,c020,Confidentiality,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c001,Miscellaneous,30,Low,False,0.9
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c002,Miscellaneous,30,Low,False,0.5
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c003,Confidentiality,30,Low,False,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c004,Confidentiality,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c005,Definition of Confidential Info,85,High,True,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c006,Confidentiality,30,Low,True,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c007,Exceptions,30,Low,True,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c008,Confidentiality,30,Low,True,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c009,Remedies / Injunctive Relief,85,High,True,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c010,Return/Destruction,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c011,Confidentiality,30,Low,False,0.7
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c012,Permitted Disclosures,85,High,True,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c013,Term & Survival,30,Low,True,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c014,Governing Law,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c015,Term & Survival,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c016,Term & Survival,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c017,Term & Survival,30,Low,True,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c018,Term & Survival,30,Low,False,0.8
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c019,Return/Destruction,30,Low,False,0.9
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,full_system,c020,Confidentiality,85,High,True,0.7
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c001,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c002,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c003,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c004,Confidentiality,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c005,Exceptions,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c006,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c007,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c008,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,baseline,c009,Dispute Resolution,30,Low,False,0.72
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c001,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c002,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c003,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c004,Confidentiality,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c005,Exceptions,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c006,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c007,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c008,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rules_only,c009,Dispute Resolution,30,Low,False,0.72
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c001,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c002,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c003,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c004,Confidentiality,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c005,Exceptions,30,Low,False,0.62
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c006,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c007,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c008,Confidentiality,30,Low,False,0.52
Example-One-Way-Non-Disclosure-Agreement.pdf,rag_rules,c009,Dispute Resolution,30,Low,False,0.72
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c001,Governing Law,30,Low,False,0.8
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c002,Confidentiality,30,Low,False,0.8
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c003,Confidentiality,60,Medium,True,0.7
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c004,Confidentiality,30,Low,True,0.7
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c005,Exceptions,30,Low,True,0.7
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c006,Permitted Disclosures,30,Low,False,0.8
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c007,Return/Destruction,30,Low,False,0.8
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c008,IP Ownership / Assignment,30,Low,True,0.6
Example-One-Way-Non-Disclosure-Agreement.pdf,full_system,c009,Governing Law,30,Low,False,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c003,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c004,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c005,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c006,Permitted Disclosures,30,Low,False,0.9199999999999999
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c007,Definition of Confidential Info,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c008,Return/Destruction,30,Low,False,0.72
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c009,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c010,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c011,Permitted Disclosures,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c012,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c013,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c014,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c015,Remedies / Injunctive Relief,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c016,Return/Destruction,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c017,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c018,IP Ownership / Assignment,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c019,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c020,Dispute Resolution,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c021,Limitation of Liability,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c022,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c023,Miscellaneous,30,Low,False,0.72
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c024,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c025,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,baseline,c026,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c003,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c004,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c005,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c006,Permitted Disclosures,30,Low,False,0.736
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c007,Definition of Confidential Info,30,Low,False,0.6560000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c008,Return/Destruction,30,Low,False,0.576
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c009,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c010,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c011,Permitted Disclosures,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c012,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c013,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c014,Confidentiality,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c015,Remedies / Injunctive Relief,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c016,Return/Destruction,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c017,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c018,IP Ownership / Assignment,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c019,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c020,Dispute Resolution,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c021,Limitation of Liability,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c022,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c023,Miscellaneous,30,Low,False,0.576
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c024,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c025,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rules_only,c026,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c003,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c004,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c005,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c006,Permitted Disclosures,30,Low,False,0.736
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c007,Definition of Confidential Info,30,Low,False,0.6560000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c008,Return/Destruction,30,Low,False,0.576
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c009,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c010,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c011,Permitted Disclosures,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c012,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c013,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c014,Confidentiality,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c015,Remedies / Injunctive Relief,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c016,Return/Destruction,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c017,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c018,IP Ownership / Assignment,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c019,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c020,Dispute Resolution,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c021,Limitation of Liability,30,Low,False,0.41600000000000004
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c022,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c023,Miscellaneous,30,Low,False,0.576
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c024,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c025,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,rag_rules,c026,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c001,Miscellaneous,30,Low,True,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c002,Miscellaneous,30,Low,False,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c003,Confidentiality,30,Low,False,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c004,Confidentiality,30,Low,False,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c005,Definition of Confidential Info,60,Medium,True,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c006,Confidentiality,85,High,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c007,Confidentiality,85,High,True,0.6
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c008,Return/Destruction,85,High,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c009,Confidentiality,30,Low,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c010,IP Ownership / Assignment,30,Low,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c011,Term & Survival,85,High,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c012,Term & Survival,85,High,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c013,Permitted Disclosures,30,Low,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c014,Confidentiality,85,High,True,0.7
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c015,Remedies / Injunctive Relief,85,High,True,0.8
sec.gov_Archives_edgar_data_1000180_000104746914005832_a2220589zex-99_d10.htm,full_system,c016,Term & Survival,30,Low,False,0.9
